[00:11:16.411] {'base_lr': 0.001,
 'batch_size': 24,
 'cfg': 'config_2d_aut.yml',
 'consistency': 2.0,
 'consistency_rampup': 50,
 'cr_weight': 0.1,
 'deterministic': False,
 'ema_decay': 0.99,
 'exp': 'ACDC_runs/vema',
 'gpu_id': 0,
 'labeled_bs': 12,
 'labeled_num': 3,
 'max_iterations': 30000,
 'model1': 'unet',
 'model2': 'unet',
 'num_classes': 4,
 'p_cm': 0.3,
 'patch_size': [256, 256],
 'poly': True,
 'res_path': './results/ACDC',
 'root_path': '/home/chenyu/SSMIS/data/ACDC',
 'save_interval_epoch': 1000000,
 'seed': 2025,
 'test_interval_ep': 2}
[00:11:16.905] Total silices is: 1312, labeled slices is: 68
[00:11:16.905] 103 iterations per epoch
[00:11:29.100] iteration:33  t-loss1/2:0.3153/0.2919, loss-lb1/2:0.3068/0.2833, loss-ulb1/2:0.6274/0.6417, weight:0.01, lr:0.0010
[00:11:29.434] iteration:34  t-loss1/2:0.3248/0.3151, loss-lb1/2:0.3164/0.3066, loss-ulb1/2:0.6237/0.6354, weight:0.01, lr:0.0010
[00:11:29.771] iteration:35  t-loss1/2:0.3143/0.3020, loss-lb1/2:0.3057/0.2931, loss-ulb1/2:0.6395/0.6586, weight:0.01, lr:0.0010
[00:11:30.108] iteration:36  t-loss1/2:0.3085/0.2927, loss-lb1/2:0.3001/0.2841, loss-ulb1/2:0.6238/0.6349, weight:0.01, lr:0.0010
[00:11:30.443] iteration:37  t-loss1/2:0.3035/0.2791, loss-lb1/2:0.2950/0.2703, loss-ulb1/2:0.6330/0.6504, weight:0.01, lr:0.0010
[00:11:30.780] iteration:38  t-loss1/2:0.2890/0.2885, loss-lb1/2:0.2800/0.2796, loss-ulb1/2:0.6721/0.6539, weight:0.01, lr:0.0010
[00:11:31.117] iteration:39  t-loss1/2:0.3063/0.2785, loss-lb1/2:0.2978/0.2697, loss-ulb1/2:0.6316/0.6518, weight:0.01, lr:0.0010
[00:11:31.451] iteration:40  t-loss1/2:0.2856/0.2717, loss-lb1/2:0.2771/0.2628, loss-ulb1/2:0.6299/0.6596, weight:0.01, lr:0.0010
[00:11:31.790] iteration:41  t-loss1/2:0.2775/0.2686, loss-lb1/2:0.2694/0.2600, loss-ulb1/2:0.6011/0.6374, weight:0.01, lr:0.0010
[00:11:32.128] iteration:42  t-loss1/2:0.2754/0.2908, loss-lb1/2:0.2674/0.2825, loss-ulb1/2:0.5927/0.6173, weight:0.01, lr:0.0010
[00:11:32.464] iteration:43  t-loss1/2:0.2820/0.2753, loss-lb1/2:0.2738/0.2669, loss-ulb1/2:0.6100/0.6220, weight:0.01, lr:0.0010
[00:11:32.801] iteration:44  t-loss1/2:0.2710/0.2678, loss-lb1/2:0.2629/0.2597, loss-ulb1/2:0.6006/0.6052, weight:0.01, lr:0.0010
[00:11:33.137] iteration:45  t-loss1/2:0.3197/0.2834, loss-lb1/2:0.3114/0.2751, loss-ulb1/2:0.6118/0.6165, weight:0.01, lr:0.0010
[00:11:33.473] iteration:46  t-loss1/2:0.2554/0.2714, loss-lb1/2:0.2465/0.2629, loss-ulb1/2:0.6654/0.6301, weight:0.01, lr:0.0010
[00:11:33.669] iteration:47  t-loss1/2:0.2392/0.2663, loss-lb1/2:0.2329/0.2605, loss-ulb1/2:0.4660/0.4284, weight:0.01, lr:0.0010
[00:11:34.008] iteration:48  t-loss1/2:0.2868/0.2473, loss-lb1/2:0.2789/0.2404, loss-ulb1/2:0.5860/0.5139, weight:0.01, lr:0.0010
[00:11:34.343] iteration:49  t-loss1/2:0.2568/0.2677, loss-lb1/2:0.2483/0.2603, loss-ulb1/2:0.6302/0.5450, weight:0.01, lr:0.0010
[00:11:34.681] iteration:50  t-loss1/2:0.2379/0.2793, loss-lb1/2:0.2298/0.2721, loss-ulb1/2:0.5999/0.5355, weight:0.01, lr:0.0010
[00:11:35.018] iteration:51  t-loss1/2:0.2533/0.2878, loss-lb1/2:0.2453/0.2803, loss-ulb1/2:0.5929/0.5579, weight:0.01, lr:0.0010
[00:11:35.211] iteration:52  t-loss1/2:0.2452/0.3018, loss-lb1/2:0.2389/0.2959, loss-ulb1/2:0.4622/0.4394, weight:0.01, lr:0.0010
[00:11:35.548] iteration:53  t-loss1/2:0.2393/0.2608, loss-lb1/2:0.2316/0.2536, loss-ulb1/2:0.5704/0.5323, weight:0.01, lr:0.0010
[00:11:35.743] iteration:54  t-loss1/2:0.2419/0.2566, loss-lb1/2:0.2352/0.2513, loss-ulb1/2:0.4955/0.3945, weight:0.01, lr:0.0010
[00:11:36.079] iteration:55  t-loss1/2:0.2502/0.2603, loss-lb1/2:0.2428/0.2533, loss-ulb1/2:0.5486/0.5214, weight:0.01, lr:0.0010
[00:11:36.415] iteration:56  t-loss1/2:0.2494/0.2585, loss-lb1/2:0.2414/0.2505, loss-ulb1/2:0.5938/0.5897, weight:0.01, lr:0.0010
[00:11:36.754] iteration:57  t-loss1/2:0.2351/0.2528, loss-lb1/2:0.2267/0.2455, loss-ulb1/2:0.6265/0.5476, weight:0.01, lr:0.0010
[00:11:37.090] iteration:58  t-loss1/2:0.2145/0.2537, loss-lb1/2:0.2068/0.2467, loss-ulb1/2:0.5736/0.5203, weight:0.01, lr:0.0010
[00:11:37.425] iteration:59  t-loss1/2:0.2286/0.2454, loss-lb1/2:0.2210/0.2385, loss-ulb1/2:0.5675/0.5118, weight:0.01, lr:0.0010
[00:11:37.763] iteration:60  t-loss1/2:0.2108/0.2613, loss-lb1/2:0.2026/0.2538, loss-ulb1/2:0.6093/0.5556, weight:0.01, lr:0.0010
[00:11:38.099] iteration:61  t-loss1/2:0.2279/0.2414, loss-lb1/2:0.2200/0.2345, loss-ulb1/2:0.5841/0.5151, weight:0.01, lr:0.0010
[00:11:38.434] iteration:62  t-loss1/2:0.2075/0.2813, loss-lb1/2:0.1995/0.2739, loss-ulb1/2:0.5938/0.5488, weight:0.01, lr:0.0010
[00:11:38.629] iteration:63  t-loss1/2:0.1772/0.2415, loss-lb1/2:0.1733/0.2354, loss-ulb1/2:0.2922/0.4515, weight:0.01, lr:0.0010
[00:11:38.964] iteration:64  t-loss1/2:0.2047/0.2632, loss-lb1/2:0.1965/0.2558, loss-ulb1/2:0.6094/0.5485, weight:0.01, lr:0.0010
[00:11:39.301] iteration:65  t-loss1/2:0.1895/0.2362, loss-lb1/2:0.1804/0.2282, loss-ulb1/2:0.6751/0.5901, weight:0.01, lr:0.0010
[00:11:39.639] iteration:66  t-loss1/2:0.1668/0.2584, loss-lb1/2:0.1592/0.2517, loss-ulb1/2:0.5632/0.4936, weight:0.01, lr:0.0010
